,nconst,tconst,ordering,category,primaryName,primaryProfession,gender
144,nm0000014,40806.0,1.0,actress,Olivia de Havilland,"actress,soundtrack",Female
145,nm0000014,29843.0,2.0,actress,Olivia de Havilland,"actress,soundtrack",Female
146,nm0000014,41452.0,1.0,actress,Olivia de Havilland,"actress,soundtrack",Female
147,nm0000014,48432.0,1.0,actress,Olivia de Havilland,"actress,soundtrack",Female
148,nm0000015,48545.0,1.0,actor,James Dean,"actor,miscellaneous",Male
149,nm0000016,60665.0,7.0,composer,Georges Delerue,"composer,soundtrack,music_department",
150,nm0000016,55032.0,8.0,composer,Georges Delerue,"composer,soundtrack,music_department",
151,nm0000016,59956.0,8.0,composer,Georges Delerue,"composer,soundtrack,music_department",
152,nm0000016,86312.0,9.0,composer,Georges Delerue,"composer,soundtrack,music_department",
153,nm0000016,66579.0,8.0,composer,Georges Delerue,"composer,soundtrack,music_department",
154,nm0000016,82370.0,8.0,composer,Georges Delerue,"composer,soundtrack,music_department",
155,nm0000016,88683.0,8.0,composer,Georges Delerue,"composer,soundtrack,music_department",
156,nm0000016,82992.0,9.0,composer,Georges Delerue,"composer,soundtrack,music_department",
157,nm0000016,65571.0,8.0,composer,Georges Delerue,"composer,soundtrack,music_department",
158,nm0000016,98384.0,8.0,composer,Georges Delerue,"composer,soundtrack,music_department",
159,nm0000017,21156.0,2.0,actress,Marlene Dietrich,"soundtrack,actress,music_department",Female
160,nm0000017,20697.0,2.0,actress,Marlene Dietrich,"soundtrack,actress,music_department",Female
161,nm0000017,29087.0,1.0,actress,Marlene Dietrich,"soundtrack,actress,music_department",Female
162,nm0000017,23458.0,1.0,actress,Marlene Dietrich,"soundtrack,actress,music_department",Female
163,nm0000017,51201.0,2.0,actress,Marlene Dietrich,"soundtrack,actress,music_department",Female
164,nm0000017,42994.0,1.0,actress,Marlene Dietrich,"soundtrack,actress,music_department",Female
165,nm0000018,44391.0,2.0,actor,Kirk Douglas,"actor,producer,soundtrack",Male
166,nm0000018,41587.0,4.0,actor,Kirk Douglas,"actor,producer,soundtrack",Male
167,nm0000018,39689.0,3.0,actor,Kirk Douglas,"actor,producer,soundtrack",Male
168,nm0000018,44419.0,1.0,actor,Kirk Douglas,"actor,producer,soundtrack",Male
169,nm0000018,43338.0,1.0,actor,Kirk Douglas,"actor,producer,soundtrack",Male
170,nm0000018,80736.0,1.0,actor,Kirk Douglas,"actor,producer,soundtrack",Male
171,nm0000018,54331.0,1.0,actor,Kirk Douglas,"actor,producer,soundtrack",Male
172,nm0000018,46672.0,1.0,actor,Kirk Douglas,"actor,producer,soundtrack",Male
173,nm0000018,50825.0,1.0,actor,Kirk Douglas,"actor,producer,soundtrack",Male
174,nm0000018,52365.0,1.0,actor,Kirk Douglas,"actor,producer,soundtrack",Male
175,nm0000019,53779.0,5.0,director,Federico Fellini,"writer,director,assistant_director",
176,nm0000019,56801.0,5.0,director,Federico Fellini,"writer,director,assistant_director",
177,nm0000019,50783.0,5.0,director,Federico Fellini,"writer,director,assistant_director",
178,nm0000019,59229.0,5.0,director,Federico Fellini,"writer,director,assistant_director",
179,nm0000020,51207.0,1.0,actor,Henry Fonda,"actor,producer,soundtrack",Male
180,nm0000020,64116.0,1.0,actor,Henry Fonda,"actor,producer,soundtrack",Male
181,nm0000020,60165.0,1.0,actor,Henry Fonda,"actor,producer,soundtrack",Male
182,nm0000020,58083.0,1.0,actor,Henry Fonda,"actor,producer,soundtrack",Male
183,nm0000020,49934.0,2.0,actor,Henry Fonda,"actor,producer,soundtrack",Male
184,nm0000020,36244.0,1.0,actor,Henry Fonda,"actor,producer,soundtrack",Male
185,nm0000020,50083.0,1.0,actor,Henry Fonda,"actor,producer,soundtrack",Male
186,nm0000020,38762.0,1.0,actor,Henry Fonda,"actor,producer,soundtrack",Male
187,nm0000020,35415.0,4.0,actor,Henry Fonda,"actor,producer,soundtrack",Male
188,nm0000021,36969.0,2.0,actress,Joan Fontaine,"actress,soundtrack,producer",Female
189,nm0000022,40242.0,1.0,actor,Clark Gable,"actor,soundtrack,producer",Male
190,nm0000022,55184.0,1.0,actor,Clark Gable,"actor,soundtrack,producer",Male
191,nm0000022,46085.0,1.0,actor,Clark Gable,"actor,soundtrack,producer",Male
192,nm0000022,52151.0,1.0,actor,Clark Gable,"actor,soundtrack,producer",Male
193,nm0000022,52278.0,1.0,actor,Clark Gable,"actor,soundtrack,producer",Male
194,nm0000022,22208.0,4.0,actor,Clark Gable,"actor,soundtrack,producer",Male
195,nm0000022,28505.0,1.0,actor,Clark Gable,"actor,soundtrack,producer",Male
196,nm0000022,29377.0,1.0,actor,Clark Gable,"actor,soundtrack,producer",Male
197,nm0000023,34746.0,1.0,actress,Judy Garland,"soundtrack,actress",Female
198,nm0000023,43012.0,1.0,actress,Judy Garland,"soundtrack,actress",Female
199,nm0000023,35942.0,2.0,actress,Judy Garland,"soundtrack,actress",Female
200,nm0000023,38589.0,1.0,actress,Judy Garland,"soundtrack,actress",Female
201,nm0000023,37059.0,1.0,actress,Judy Garland,"soundtrack,actress",Female
202,nm0000023,40308.0,1.0,actress,Judy Garland,"soundtrack,actress",Female
203,nm0000024,45943.0,4.0,actor,John Gielgud,"actor,writer,director",Male
204,nm0000025,120844.0,8.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
205,nm0000025,118571.0,10.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
206,nm0000025,120657.0,10.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
207,nm0000025,59557.0,9.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
208,nm0000025,110099.0,9.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
209,nm0000025,82869.0,7.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
210,nm0000025,117731.0,9.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
211,nm0000025,61122.0,9.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
212,nm0000025,87363.0,8.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
213,nm0000025,67065.0,9.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
214,nm0000025,253754.0,9.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
215,nm0000025,164334.0,10.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
216,nm0000025,164052.0,10.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
217,nm0000025,60934.0,8.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
218,nm0000025,88206.0,10.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
219,nm0000025,98382.0,8.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
220,nm0000025,89469.0,8.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
221,nm0000025,79945.0,10.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
222,nm0000025,119488.0,10.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
223,nm0000025,83944.0,10.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
224,nm0000025,97737.0,10.0,composer,Jerry Goldsmith,"music_department,soundtrack,composer",
225,nm0000026,38787.0,1.0,actor,Cary Grant,"actor,soundtrack,producer",Male
226,nm0000026,41498.0,1.0,actor,Cary Grant,"actor,soundtrack,producer",Male
227,nm0000026,53125.0,1.0,actor,Cary Grant,"actor,soundtrack,producer",Male
228,nm0000026,29947.0,2.0,actor,Cary Grant,"actor,soundtrack,producer",Male
229,nm0000026,28597.0,2.0,actor,Cary Grant,"actor,soundtrack,producer",Male
230,nm0000026,36613.0,1.0,actor,Cary Grant,"actor,soundtrack,producer",Male
231,nm0000026,51773.0,1.0,actor,Cary Grant,"actor,soundtrack,producer",Male
232,nm0000026,29682.0,1.0,actor,Cary Grant,"actor,soundtrack,producer",Male
233,nm0000026,50105.0,1.0,actor,Cary Grant,"actor,soundtrack,producer",Male
234,nm0000026,40613.0,1.0,actor,Cary Grant,"actor,soundtrack,producer",Male
235,nm0000026,50599.0,1.0,actor,Cary Grant,"actor,soundtrack,producer",Male
236,nm0000027,41546.0,2.0,actor,Alec Guinness,"actor,soundtrack,writer",Male
237,nm0000027,48281.0,1.0,actor,Alec Guinness,"actor,soundtrack,writer",Male
238,nm0000027,48512.0,1.0,actor,Alec Guinness,"actor,soundtrack,writer",Male
239,nm0000027,50212.0,2.0,actor,Alec Guinness,"actor,soundtrack,writer",Male
240,nm0000028,46076.0,1.0,actress,Rita Hayworth,"actress,soundtrack,producer",Female
241,nm0000028,46269.0,1.0,actress,Rita Hayworth,"actress,soundtrack,producer",Female
242,nm0000028,38559.0,1.0,actress,Rita Hayworth,"actress,soundtrack,producer",Female
243,nm0000028,36723.0,1.0,actress,Rita Hayworth,"actress,soundtrack,producer",Female
244,nm0000028,50397.0,1.0,actress,Rita Hayworth,"actress,soundtrack,producer",Female
245,nm0000028,35415.0,2.0,actress,Rita Hayworth,"actress,soundtrack,producer",Female
246,nm0000028,52182.0,1.0,actress,Rita Hayworth,"actress,soundtrack,producer",Female
247,nm0000030,58385.0,1.0,actress,Audrey Hepburn,"actress,soundtrack",Female
248,nm0000030,50419.0,1.0,actress,Audrey Hepburn,"actress,soundtrack",Female
249,nm0000030,60522.0,1.0,actress,Audrey Hepburn,"actress,soundtrack",Female
250,nm0000030,46250.0,2.0,actress,Audrey Hepburn,"actress,soundtrack",Female
251,nm0000030,62407.0,1.0,actress,Audrey Hepburn,"actress,soundtrack",Female
252,nm0000030,62467.0,1.0,actress,Audrey Hepburn,"actress,soundtrack",Female
253,nm0000030,53131.0,1.0,actress,Audrey Hepburn,"actress,soundtrack",Female
254,nm0000030,49934.0,1.0,actress,Audrey Hepburn,"actress,soundtrack",Female
255,nm0000031,29947.0,1.0,actress,Katharine Hepburn,"actress,soundtrack,writer",Female
256,nm0000031,50307.0,2.0,actress,Katharine Hepburn,"actress,soundtrack,writer",Female
257,nm0000031,35567.0,2.0,actress,Katharine Hepburn,"actress,soundtrack,writer",Female
258,nm0000031,61735.0,3.0,actress,Katharine Hepburn,"actress,soundtrack,writer",Female
259,nm0000031,63227.0,2.0,actress,Katharine Hepburn,"actress,soundtrack,writer",Female
260,nm0000031,67881.0,1.0,actress,Katharine Hepburn,"actress,soundtrack,writer",Female
261,nm0000031,41090.0,2.0,actress,Katharine Hepburn,"actress,soundtrack,writer",Female
262,nm0000031,24264.0,1.0,actress,Katharine Hepburn,"actress,soundtrack,writer",Female
263,nm0000031,53318.0,2.0,actress,Katharine Hepburn,"actress,soundtrack,writer",Female
264,nm0000031,43265.0,2.0,actress,Katharine Hepburn,"actress,soundtrack,writer",Female
265,nm0000031,29604.0,1.0,actress,Katharine Hepburn,"actress,soundtrack,writer",Female
266,nm0000032,54847.0,1.0,actor,Charlton Heston,"actor,director,writer",Male
267,nm0000032,56800.0,1.0,actor,Charlton Heston,"actor,director,writer",Male
268,nm0000032,49833.0,1.0,actor,Charlton Heston,"actor,director,writer",Male
269,nm0000032,63442.0,1.0,actor,Charlton Heston,"actor,director,writer",Male
270,nm0000032,52311.0,1.0,actor,Charlton Heston,"actor,director,writer",Male
271,nm0000032,52618.0,1.0,actor,Charlton Heston,"actor,director,writer",Male
272,nm0000033,42994.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
273,nm0000033,21015.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
274,nm0000033,46912.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
275,nm0000033,39694.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
276,nm0000033,52357.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
277,nm0000033,51207.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
278,nm0000033,45897.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
279,nm0000033,23285.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
280,nm0000033,38109.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
281,nm0000033,38787.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
282,nm0000033,37017.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
283,nm0000033,53125.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
284,nm0000033,35279.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
285,nm0000033,42004.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
286,nm0000033,21165.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
287,nm0000033,29811.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
288,nm0000033,17825.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
289,nm0000033,68611.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
290,nm0000033,61107.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
291,nm0000033,44079.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
292,nm0000033,19702.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
293,nm0000033,23395.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
294,nm0000033,58329.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
295,nm0000033,40746.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
296,nm0000033,35279.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
297,nm0000033,54215.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
298,nm0000033,22395.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
299,nm0000033,36342.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
300,nm0000033,47396.0,5.0,director,Alfred Hitchcock,"actor,director,producer",Male
301,nm0000034,46359.0,1.0,actor,William Holden,"actor,soundtrack",Male
302,nm0000034,43014.0,1.0,actor,William Holden,"actor,soundtrack",Male
303,nm0000034,42276.0,2.0,actor,William Holden,"actor,soundtrack",Male
304,nm0000034,50212.0,1.0,actor,William Holden,"actor,soundtrack",Male
305,nm0000034,46963.0,1.0,actor,William Holden,"actor,soundtrack",Male
306,nm0000035,80421.0,10.0,composer,James Horner,"music_department,soundtrack,composer",
307,nm0000035,338188.0,10.0,composer,James Horner,"music_department,soundtrack,composer",
308,nm0000035,268978.0,9.0,composer,James Horner,"music_department,soundtrack,composer",
309,nm0000035,402399.0,7.0,composer,James Horner,"music_department,soundtrack,composer",
310,nm0000035,117718.0,7.0,composer,James Horner,"music_department,soundtrack,composer",
311,nm0000035,408790.0,9.0,composer,James Horner,"music_department,soundtrack,composer",
312,nm0000035,88944.0,10.0,composer,James Horner,"music_department,soundtrack,composer",
313,nm0000035,120338.0,7.0,composer,James Horner,"music_department,soundtrack,composer",
314,nm0000035,88170.0,7.0,composer,James Horner,"music_department,soundtrack,composer",
315,nm0000035,405676.0,10.0,composer,James Horner,"music_department,soundtrack,composer",
316,nm0000035,120647.0,10.0,composer,James Horner,"music_department,soundtrack,composer",
317,nm0000035,110322.0,10.0,composer,James Horner,"music_department,soundtrack,composer",
318,nm0000035,815178.0,10.0,composer,James Horner,"music_department,soundtrack,composer",
319,nm0000035,97351.0,9.0,composer,James Horner,"music_department,soundtrack,composer",
320,nm0000035,85811.0,8.0,composer,James Horner,"music_department,soundtrack,composer",
321,nm0000036,15324.0,1.0,actor,Buster Keaton,"actor,writer,director",Male
322,nm0000036,44837.0,4.0,actor,Buster Keaton,"actor,writer,director",Male
323,nm0000036,12543.0,1.0,actor,Buster Keaton,"actor,writer,director",Male
324,nm0000036,16332.0,1.0,actor,Buster Keaton,"actor,writer,director",Male
325,nm0000036,18742.0,1.0,actor,Buster Keaton,"actor,writer,director",Male
326,nm0000036,14341.0,1.0,actor,Buster Keaton,"actor,writer,director",Male
327,nm0000036,15863.0,1.0,actor,Buster Keaton,"actor,writer,director",Male
328,nm0000036,15163.0,1.0,actor,Buster Keaton,"actor,writer,director",Male
329,nm0000036,19421.0,1.0,actor,Buster Keaton,"actor,writer,director",Male
330,nm0000036,17925.0,1.0,actor,Buster Keaton,"actor,writer,director",Male
331,nm0000037,43012.0,2.0,actor,Gene Kelly,"actor,soundtrack,director",Male
332,nm0000037,43278.0,1.0,actor,Gene Kelly,"actor,soundtrack,director",Male
333,nm0000037,36723.0,2.0,actor,Gene Kelly,"actor,soundtrack,director",Male
334,nm0000037,64418.0,5.0,director,Gene Kelly,"actor,soundtrack,director",Male
335,nm0000037,34746.0,3.0,actor,Gene Kelly,"actor,soundtrack,director",Male
336,nm0000037,53946.0,3.0,actor,Gene Kelly,"actor,soundtrack,director",Male
337,nm0000037,37514.0,3.0,actor,Gene Kelly,"actor,soundtrack,director",Male
338,nm0000037,41716.0,1.0,actor,Gene Kelly,"actor,soundtrack,director",Male
339,nm0000037,45152.0,1.0,actor,Gene Kelly,"actor,soundtrack,director",Male
340,nm0000037,81777.0,2.0,actor,Gene Kelly,"actor,soundtrack,director",Male
341,nm0000038,46912.0,2.0,actress,Grace Kelly,"actress,soundtrack",Female
342,nm0000038,44706.0,2.0,actress,Grace Kelly,"actress,soundtrack",Female
343,nm0000038,47396.0,2.0,actress,Grace Kelly,"actress,soundtrack",Female
344,nm0000038,46085.0,2.0,actress,Grace Kelly,"actress,soundtrack",Female
345,nm0000039,57933.0,1.0,actress,Deborah Kerr,"actress,soundtrack",Female
346,nm0000039,55018.0,1.0,actress,Deborah Kerr,"actress,soundtrack",Female
347,nm0000039,52182.0,2.0,actress,Deborah Kerr,"actress,soundtrack",Female
348,nm0000039,50105.0,2.0,actress,Deborah Kerr,"actress,soundtrack",Female
349,nm0000039,43949.0,2.0,actress,Deborah Kerr,"actress,soundtrack",Female
350,nm0000039,36112.0,2.0,actress,Deborah Kerr,"actress,soundtrack",Female
351,nm0000039,50490.0,2.0,actress,Deborah Kerr,"actress,soundtrack",Female
352,nm0000039,45793.0,3.0,actress,Deborah Kerr,"actress,soundtrack",Female
353,nm0000040,45758.0,5.0,director,Stanley Kubrick,"director,writer,producer",
354,nm0000040,120663.0,5.0,director,Stanley Kubrick,"director,writer,producer",
355,nm0000040,48254.0,5.0,director,Stanley Kubrick,"director,writer,producer",
356,nm0000040,66921.0,5.0,director,Stanley Kubrick,"director,writer,producer",
357,nm0000040,50825.0,5.0,director,Stanley Kubrick,"director,writer,producer",
358,nm0000040,81505.0,5.0,director,Stanley Kubrick,"director,writer,producer",
359,nm0000040,62622.0,5.0,director,Stanley Kubrick,"director,writer,producer",
360,nm0000040,54331.0,5.0,director,Stanley Kubrick,"director,writer,producer",
361,nm0000041,36400.0,5.0,director,Akira Kurosawa,"writer,director,assistant_director",
362,nm0000041,58461.0,10.0,writer,Akira Kurosawa,"writer,director,assistant_director",
363,nm0000041,51808.0,5.0,director,Akira Kurosawa,"writer,director,assistant_director",
364,nm0000041,65649.0,5.0,director,Akira Kurosawa,"writer,director,assistant_director",
365,nm0000041,2404435.0,6.0,writer,Akira Kurosawa,"writer,director,assistant_director",
366,nm0000041,50613.0,5.0,director,Akira Kurosawa,"writer,director,assistant_director",
367,nm0000041,42958.0,5.0,director,Akira Kurosawa,"writer,director,assistant_director",
368,nm0000041,43614.0,5.0,director,Akira Kurosawa,"writer,director,assistant_director",
369,nm0000041,44741.0,5.0,director,Akira Kurosawa,"writer,director,assistant_director",
370,nm0000041,36947.0,5.0,director,Akira Kurosawa,"writer,director,assistant_director",
371,nm0000041,42876.0,5.0,director,Akira Kurosawa,"writer,director,assistant_director",
372,nm0000041,54047.0,9.0,writer,Akira Kurosawa,"writer,director,assistant_director",
373,nm0000042,46303.0,1.0,actor,Alan Ladd,"actor,producer,camera_department",Male
374,nm0000043,36367.0,3.0,actress,Veronica Lake,"actress,soundtrack,producer",Female
375,nm0000044,52182.0,4.0,actor,Burt Lancaster,"actor,producer,miscellaneous",Male
376,nm0000044,52151.0,2.0,actor,Burt Lancaster,"actor,producer,miscellaneous",Male
377,nm0000044,45793.0,1.0,actor,Burt Lancaster,"actor,producer,miscellaneous",Male
378,nm0000044,59825.0,1.0,actor,Burt Lancaster,"actor,producer,miscellaneous",Male
379,nm0000044,51036.0,1.0,actor,Burt Lancaster,"actor,producer,miscellaneous",Male
380,nm0000044,80388.0,1.0,actor,Burt Lancaster,"actor,producer,miscellaneous",Male
381,nm0000044,65377.0,1.0,actor,Burt Lancaster,"actor,producer,miscellaneous",Male
